uid,number
zFnBXCSnMZe91Du7LsJWk2Timpq2,1
P4ASTsw9PAP32u9UuWceNY1FNR92,2
YswibClY3ZO0TQYza1fAOOxGpbA2,2
Z6MQxFTgQDY5WrGKU5K0iVYCge13,3
DRIOCDiQ6cXNjsF6IfRKfUxZgTH3,1
eZpmzFGNC5RfP5OYOvVqjU3Y5ex2,9
J4Dj1GcabwTzolkY3Rx2qF8vAqZ2,2
QCL1P8jk5ugoJlWyhEls1hm5kBq2,2
yI1uOR5fqCfpXERRvS8g9qBCEQu1,2
8jxAmPzGdhQkMbt85BpYZXhzVrC3,2
HBwNssmsnYUB6tEdEiT0jo40EAL2,2
s2HzaEEgmtP1syD8zfLeEHnhZMV2,6
zWLsxK5hBdUT1O3lEusCFoHG9UC3,3
I4P30dCm0CV6nv6MJTPBUvRVCKH3,9
tFGI64LVsod2IRilmg2ZqSZwlPa2,2
4FuftHDpWlON03QUiMdHTOTthp32,2
nNOiUuU0HyOL4wb0hpxxwbb1LAP2,2
32uZUgtrKMQlz5X3UacaLzWkkoT2,2
DRSxvLTebLen6KUBlMfPizmFrEq2,2
h9WdzfVaHAQVWgntyLAJylPC9Gz1,3
RwYakiyIZWct20fG2cmyROSKJ8d2,9
xYoSzetXX0aIKroiALs3afRNTt42,2
DHUFC6cTOaXZWHvIrQA9OS7Pvao2,1
n2yPXctRCvQv6fV8mgn9xIcaglz1,2
yASjPAtmWIY96ERdLQi36QunV8d2,4
aKM1JwACt5fscZOKqTCRo06MeBl2,2
ZxChTlqggbRBAxDM0ihYqUZ9dV92,3
kNuB6hVOZJTFElCesGk9Ik7kOW22,2
E1092D9xo9Poiwt2Wr3M30SaeIJ2,4
8Sd66WkAijN0fYyEiO2TFo4M9N23,3
arVMICRtphaszPKOevHNnjujUha2,2
BRRukDsEKPdlh7jjRHINrTgF8ad2,2
MbNEgL1KK5cdmpfeAs07z5X0S9b2,2
ekwJPxUPaqTslF6OErIx2IbmFQr1,3
0AHxHewUOIXywFte8MepU23uBY52,3
j9bMLDo7TRh7v0qvyZEPkA0cyTp1,2
v28S3Jr6mDZFb9XWMWBaSsJ9KJ12,2
Gc8IEcMk4aUZbgM3CFY4c0rZDDw1,2
Dp4rXX0TXgXzHVMJKX0HuPEFk063,2
8EVCCxZMgvP9kyier8oYzJaRNta2,1
cxMEQXJMuQgCJFnisqDBbMDipSz1,5
eXQ1iiPK9wdLGy4qZPLg6gug9bu2,18
99v81WPzH1Pp9v1VL5M9OBbLsiy2,1
rNVpU1WPqvhLHMA7lNiGBdOJxd12,2
OGfgC0EHdWU53jt8hn9lMz8JL7K2,3
FnHVOldf9OZ8MmB7SCNvLCKZ2513,2
QUzcGqbKUfW9AFjNF8gPvB0MR3j1,3
hjDj5at2GGUkOLT4CYBQHndCu2w1,2
k5JvB0jxHkeEjFwibkqBDVC1jEc2,3
hmv7Q6kDYXNMKt5uPsYRUkDLOXg1,5
xYGtpewahuYlS30RZbrzHuzgSBH3,2
C7wvpcYSmQUUGaxBz1U8wyf5cC12,8
6MDJFTeME4cVZjGhSso4nATv7bV2,22
lZ0fwEHBoQMt18IZnQkOOoT1jR63,6
RKd1D2PkOvanyW4Xqbk2M5iJO9j2,1
eKWTa8JG8ZaHezH2Ce21BCxRVYL2,4
0wwwaFwX2BWJTeST6bKXGIucj0y2,2
2S3vE3rZSBYw5JLnW8TUCrguzPH2,2
KNLwKmc9KCVbPqsQLrMGhmr9zMg2,2
F2fj0IGfYhZX3djNI3Dz1JQol6M2,3
AzY4NJ9I87YNPGF46rYP7bA7T5v2,2
MQLAn6LBvtPQNYTNil3XCJrUBhY2,2
hN5mHEQA2SaGdH1BdX0SlARf0sG3,2
dyCiEA21GtZpUj8hVOp8i3wluTj1,7
vQDjyt5MgHQnj2jxr8uAzGRe7F83,3
7BGRRgwsnyVLiUzh68QVXasSohN2,4
mhGSCgcxM8Sg36slGVmsDn7c3Ba2,2
4cO8Ah1FPaau1SzyYW2BME6ZrAw2,2
gmIfKpwAiqU3QnFkrSxUazahmsD3,2
kGDibkLXq8TXIExntozjQaLpfLc2,2
n15Xw9pxZFbZsVT7Zt4PQizorCJ2,3
F9zf5Y4qDuMA5WqCliCunCLXjEI2,4
JP5t3jDCeYUzl8hMcuRdJ5keIaD3,5
3gagHnaH3bgdRvg9tz9I7jL0qYq1,7
jgd8utNM88Q6Fr2G3JaQbbtfPJO2,3
tge9vlKu27eKr9FnZFercTgZjsS2,2
VrDJzs3Xl2UNl9xgETzjRp9NpFN2,3
fvEy43bwWFYm1FG8dCE8kQNwPYv1,2
z7QoZq7wwVQi1FbMxb6DEPxPVOt1,1
lc0gmlABYfXhazzOsY2g8HuG9dP2,3
LHMX6QFYRkXGgSxZhCoyo0EWqBl1,2
8d5Gg2Pvxcd3ZZw5C0gWIADanWE3,6
ltJOYqHzJMWFNl8LVLtzjliDkIu2,2
bg9Pr8wWLbRoOg6zBQUKBK0WukS2,2
2vLVLNjIwCUXYrfMeHWFFdPJUhx1,2
lWF0zzosP8OlqyjcAdEDbc87gtm2,2
Rpxh1kMVBDh35RsHRXpiNXlrJM72,6
LgKEbyegnuORGtkTAKFBd4Rg4AH3,2
46JRah8JCPbpxFcQM9kQGuLo1Ko2,3
QUv4waQ0YESoZRTff07JAOL4Bnl1,5
